timestamp_shifted,endpoint_code,user_code,ip_code,timestamp,prev_timestamp
2026-01-01T05:54:54.341000Z,AUTH_ACTION_001,UUID_000090,IP_000063,2026-01-01 05:54:54.341000+00:00,
2026-01-01T05:54:54.351000Z,AUTH_ACTION_001,UUID_000090,IP_000063,2026-01-01 05:54:54.351000+00:00,2026-01-01 05:54:54.341000+00:00
2026-01-01T05:55:01.347000Z,AUTH_ACTION_002,UUID_000090,IP_000063,2026-01-01 05:55:01.347000+00:00,2026-01-01 05:54:54.351000+00:00
2026-01-01T05:55:01.348000Z,AUTH_ACTION_002,UUID_000090,IP_000063,2026-01-01 05:55:01.348000+00:00,2026-01-01 05:55:01.347000+00:00
2026-01-01T05:55:01.351000Z,AUTH_ACTION_002,UUID_000090,IP_000063,2026-01-01 05:55:01.351000+00:00,2026-01-01 05:55:01.348000+00:00
2026-01-01T05:55:02.420000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.420000+00:00,2026-01-01 05:55:01.351000+00:00
2026-01-01T05:55:02.426000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.426000+00:00,2026-01-01 05:55:02.420000+00:00
2026-01-01T05:55:02.427000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.427000+00:00,2026-01-01 05:55:02.426000+00:00
2026-01-01T05:55:02.435000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.435000+00:00,2026-01-01 05:55:02.427000+00:00
2026-01-01T05:55:02.446000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.446000+00:00,2026-01-01 05:55:02.435000+00:00
2026-01-01T05:55:02.455000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.455000+00:00,2026-01-01 05:55:02.446000+00:00
2026-01-01T05:55:02.456000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.456000+00:00,2026-01-01 05:55:02.455000+00:00
2026-01-01T05:55:02.464000Z,ACTIVITY_ADD_001,UUID_000090,IP_000063,2026-01-01 05:55:02.464000+00:00,2026-01-01 05:55:02.456000+00:00
2026-01-01T05:55:02.695000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000090,IP_000063,2026-01-01 05:55:02.695000+00:00,2026-01-01 05:55:02.464000+00:00
2026-01-01T05:55:02.699000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:02.699000+00:00,2026-01-01 05:55:02.695000+00:00
2026-01-01T05:55:02.700000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000090,IP_000063,2026-01-01 05:55:02.700000+00:00,2026-01-01 05:55:02.699000+00:00
2026-01-01T05:55:02.701000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000090,IP_000063,2026-01-01 05:55:02.701000+00:00,2026-01-01 05:55:02.700000+00:00
2026-01-01T05:55:02.704000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000090,IP_000063,2026-01-01 05:55:02.704000+00:00,2026-01-01 05:55:02.701000+00:00
2026-01-01T05:55:02.705000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:02.705000+00:00,2026-01-01 05:55:02.704000+00:00
2026-01-01T05:55:02.706000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:02.706000+00:00,2026-01-01 05:55:02.705000+00:00
2026-01-01T05:55:02.714000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:02.714000+00:00,2026-01-01 05:55:02.706000+00:00
2026-01-01T05:55:02.755000Z,RESERVATION_OTHER_003,UUID_000090,IP_000063,2026-01-01 05:55:02.755000+00:00,2026-01-01 05:55:02.714000+00:00
2026-01-01T05:55:02.766000Z,RESERVATION_OTHER_003,UUID_000090,IP_000063,2026-01-01 05:55:02.766000+00:00,2026-01-01 05:55:02.755000+00:00
2026-01-01T05:55:02.874000Z,RESERVATION_APP_001,UUID_000090,IP_000063,2026-01-01 05:55:02.874000+00:00,2026-01-01 05:55:02.766000+00:00
2026-01-01T05:55:02.877000Z,RESERVATION_APP_001,UUID_000090,IP_000063,2026-01-01 05:55:02.877000+00:00,2026-01-01 05:55:02.874000+00:00
2026-01-01T05:55:02.879000Z,RESERVATION_APP_001,UUID_000090,IP_000063,2026-01-01 05:55:02.879000+00:00,2026-01-01 05:55:02.877000+00:00
2026-01-01T05:55:03.355000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:03.355000+00:00,2026-01-01 05:55:02.879000+00:00
2026-01-01T05:55:03.545000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:03.545000+00:00,2026-01-01 05:55:03.355000+00:00
2026-01-01T05:55:03.546000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:03.546000+00:00,2026-01-01 05:55:03.545000+00:00
2026-01-01T05:55:03.552000Z,RESERVATION_SEARCH_001,UUID_000090,IP_000063,2026-01-01 05:55:03.552000+00:00,2026-01-01 05:55:03.546000+00:00
2026-01-01T05:55:06.018000Z,NOTIFICATIONS_001,UUID_000090,IP_000002,2026-01-01 05:55:06.018000+00:00,2026-01-01 05:55:03.552000+00:00
