timestamp_shifted,endpoint_code,user_code,ip_code,timestamp,prev_timestamp
2026-01-01T02:54:01.292000Z,AUTH_ACTION_001,UUID_000088,IP_000061,2026-01-01 02:54:01.292000+00:00,
2026-01-01T02:54:01.300000Z,AUTH_ACTION_001,UUID_000088,IP_000061,2026-01-01 02:54:01.300000+00:00,2026-01-01 02:54:01.292000+00:00
2026-01-01T02:54:01.926000Z,AUTH_ACTION_002,UUID_000088,IP_000061,2026-01-01 02:54:01.926000+00:00,2026-01-01 02:54:01.300000+00:00
2026-01-01T02:54:01.927000Z,AUTH_ACTION_002,UUID_000088,IP_000061,2026-01-01 02:54:01.927000+00:00,2026-01-01 02:54:01.926000+00:00
2026-01-01T02:54:01.931000Z,AUTH_ACTION_002,UUID_000088,IP_000061,2026-01-01 02:54:01.931000+00:00,2026-01-01 02:54:01.927000+00:00
2026-01-01T02:54:02.114000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.114000+00:00,2026-01-01 02:54:01.931000+00:00
2026-01-01T02:54:02.118000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.118000+00:00,2026-01-01 02:54:02.114000+00:00
2026-01-01T02:54:02.119000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.119000+00:00,2026-01-01 02:54:02.118000+00:00
2026-01-01T02:54:02.136000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.136000+00:00,2026-01-01 02:54:02.119000+00:00
2026-01-01T02:54:02.151000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.151000+00:00,2026-01-01 02:54:02.136000+00:00
2026-01-01T02:54:02.156000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.156000+00:00,2026-01-01 02:54:02.151000+00:00
2026-01-01T02:54:02.162000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.162000+00:00,2026-01-01 02:54:02.156000+00:00
2026-01-01T02:54:02.169000Z,ACTIVITY_ADD_001,UUID_000088,IP_000061,2026-01-01 02:54:02.169000+00:00,2026-01-01 02:54:02.162000+00:00
2026-01-01T02:54:02.258000Z,RESERVATION_SEARCH_001,UUID_000088,IP_000061,2026-01-01 02:54:02.258000+00:00,2026-01-01 02:54:02.169000+00:00
