timestamp_shifted,endpoint_code,user_code,ip_code,timestamp,prev_timestamp
2026-01-01T06:43:12.669000Z,AUTH_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:43:12.669000+00:00,
2026-01-01T06:43:12.675000Z,AUTH_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:43:12.675000+00:00,2026-01-01 06:43:12.669000+00:00
2026-01-01T06:43:13.424000Z,AUTH_ACTION_002,UUID_000079,IP_000052,2026-01-01 06:43:13.424000+00:00,2026-01-01 06:43:12.675000+00:00
2026-01-01T06:43:13.429000Z,AUTH_ACTION_002,UUID_000079,IP_000052,2026-01-01 06:43:13.429000+00:00,2026-01-01 06:43:13.424000+00:00
2026-01-01T06:43:13.807000Z,NOTIFICATIONS_001,UUID_000079,IP_000002,2026-01-01 06:43:13.807000+00:00,2026-01-01 06:43:13.429000+00:00
2026-01-01T06:43:13.995000Z,NOTIFICATIONS_001,UUID_000079,IP_000002,2026-01-01 06:43:13.995000+00:00,2026-01-01 06:43:13.807000+00:00
2026-01-01T06:43:14.096000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.096000+00:00,2026-01-01 06:43:13.995000+00:00
2026-01-01T06:43:14.101000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.101000+00:00,2026-01-01 06:43:14.096000+00:00
2026-01-01T06:43:14.102000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.102000+00:00,2026-01-01 06:43:14.101000+00:00
2026-01-01T06:43:14.104000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.104000+00:00,2026-01-01 06:43:14.102000+00:00
2026-01-01T06:43:14.109000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.109000+00:00,2026-01-01 06:43:14.104000+00:00
2026-01-01T06:43:14.113000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.113000+00:00,2026-01-01 06:43:14.109000+00:00
2026-01-01T06:43:14.128000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:43:14.128000+00:00,2026-01-01 06:43:14.113000+00:00
2026-01-01T06:43:14.270000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.270000+00:00,2026-01-01 06:43:14.128000+00:00
2026-01-01T06:43:14.275000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.275000+00:00,2026-01-01 06:43:14.270000+00:00
2026-01-01T06:43:14.281000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:43:14.281000+00:00,2026-01-01 06:43:14.275000+00:00
2026-01-01T06:43:14.282000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.282000+00:00,2026-01-01 06:43:14.281000+00:00
2026-01-01T06:43:14.289000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:43:14.289000+00:00,2026-01-01 06:43:14.282000+00:00
2026-01-01T06:43:14.290000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:43:14.290000+00:00,2026-01-01 06:43:14.289000+00:00
2026-01-01T06:43:14.291000Z,RESERVATION_OTHER_003,UUID_000079,IP_000052,2026-01-01 06:43:14.291000+00:00,2026-01-01 06:43:14.290000+00:00
2026-01-01T06:43:14.294000Z,RESERVATION_APP_001,UUID_000079,IP_000052,2026-01-01 06:43:14.294000+00:00,2026-01-01 06:43:14.291000+00:00
2026-01-01T06:43:14.294000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:43:14.294000+00:00,2026-01-01 06:43:14.294000+00:00
2026-01-01T06:43:14.299000Z,RESERVATION_OTHER_003,UUID_000079,IP_000052,2026-01-01 06:43:14.299000+00:00,2026-01-01 06:43:14.294000+00:00
2026-01-01T06:43:14.301000Z,RESERVATION_OTHER_003,UUID_000079,IP_000052,2026-01-01 06:43:14.301000+00:00,2026-01-01 06:43:14.299000+00:00
2026-01-01T06:43:14.311000Z,RESERVATION_OTHER_003,UUID_000079,IP_000052,2026-01-01 06:43:14.311000+00:00,2026-01-01 06:43:14.301000+00:00
2026-01-01T06:43:14.311000Z,RESERVATION_APP_001,UUID_000079,IP_000052,2026-01-01 06:43:14.311000+00:00,2026-01-01 06:43:14.311000+00:00
2026-01-01T06:43:14.312000Z,RESERVATION_APP_001,UUID_000079,IP_000052,2026-01-01 06:43:14.312000+00:00,2026-01-01 06:43:14.311000+00:00
2026-01-01T06:43:14.316000Z,RESERVATION_APP_001,UUID_000079,IP_000052,2026-01-01 06:43:14.316000+00:00,2026-01-01 06:43:14.312000+00:00
2026-01-01T06:43:14.715000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.715000+00:00,2026-01-01 06:43:14.316000+00:00
2026-01-01T06:43:14.866000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.866000+00:00,2026-01-01 06:43:14.715000+00:00
2026-01-01T06:43:14.867000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.867000+00:00,2026-01-01 06:43:14.866000+00:00
2026-01-01T06:43:14.873000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:43:14.873000+00:00,2026-01-01 06:43:14.867000+00:00
